"","clone1","clone2","clone3","clone4"
"TINAGL1",2,2,2,3
"PEF1",2,2,2,3
"COL16A1",2,2,2,3
"PTP4A2",2,2,2,3
"KHDRBS1",2,2,2,3
"TMEM39B",2,2,2,3
"KPNA6",2,2,2,3
"TXLNA",2,2,2,3
"CCDC28B",2,2,2,3
"IQCC",2,2,2,3
"TMEM234",2,2,2,3
"EIF3I",2,2,2,3
"FAM167B",2,2,2,3
"LCK",2,2,2,3
"HDAC1",2,2,2,3
"MARCKSL1",2,2,2,3
"TSSK3",2,2,2,3
"FAM229A",2,2,2,3
"BSDC1",2,2,2,3
"ZBTB8B",2,2,2,3
"ZBTB8A",2,2,2,3
"ZBTB8OS",2,2,2,3
"RBBP4",2,2,2,3
"SYNC",2,2,2,3
"KIAA1522",2,2,2,3
"YARS",2,2,2,3
"S100PBP",2,2,2,3
"FNDC5",2,2,2,3
"HPCA",2,2,2,3
"TMEM54",2,2,2,3
"RNF19B",2,2,2,3
"AK2",2,2,2,3
"TRIM62",2,2,2,3
"ZNF362",2,2,2,3
"PHC2",2,2,2,3
"ZSCAN20",2,2,2,3
"CSMD2",2,2,2,3
"ZMYM1",2,2,2,3
"SFPQ",2,2,2,3
"ZMYM4",2,2,2,3
"KIAA0319L",2,2,2,3
"NCDN",2,2,2,3
"TFAP2E",2,2,2,3
"PSMB2",2,2,2,3
"C1orf216",2,2,2,3
"CLSPN",2,2,2,3
"AGO4",2,2,2,3
"AGO1",2,2,2,3
"AGO3",2,2,2,3
"TEKT2",2,2,2,3
"ADPRHL2",2,2,2,3
"COL8A2",2,2,2,3
"TRAPPC3",2,2,2,3
"MAP7D1",2,2,2,3
"THRAP3",2,2,2,3
"SH3D21",2,2,2,3
"EVA1B",2,2,2,3
"STK40",2,2,2,3
"LSM10",2,2,2,3
"OSCP1",2,2,2,3
"MRPS15",2,2,2,3
"CSF3R",2,2,2,3
"GRIK3",2,2,2,3
"LINC01137",2,2,2,3
"ZC3H12A",2,2,2,3
"MEAF6",2,2,2,3
"POU3F1",2,2,2,3
"RRAGC",2,2,2,3
"MYCBP",2,2,2,3
"RHBDL2",2,2,2,3
"AKIRIN1",2,2,2,3
"NDUFS5",2,2,2,3
"MACF1",2,2,2,3
"PABPC4",2,2,2,3
"HEYL",2,2,2,3
"PPIE",2,2,2,3
"BMP8B",2,2,2,3
"OXCT2",2,2,2,3
"TRIT1",2,2,2,3
"MYCL",2,2,2,3
"MFSD2A",2,2,2,3
"CAP1",2,2,2,3
"PPT1",2,2,2,3
"RLF",2,2,2,3
"ZMPSTE24",2,2,2,3
"COL9A2",2,2,2,3
"SMAP2",2,2,2,3
"ZFP69B",2,2,2,3
"ZFP69",2,2,2,3
"EXO5",2,2,2,3
"ZNF684",2,2,2,3
"RIMS3",2,2,2,3
"NFYC-AS1",2,2,2,3
"NFYC",2,2,2,3
"KCNQ4",2,2,2,3
"CITED4",2,2,2,3
"CTPS1",2,2,2,3
"SCMH1",2,2,2,3
"FOXO6",2,2,2,3
"EDN2",2,2,2,3
"HIVEP3",2,2,2,3
"FOXJ3",2,2,2,3
"RIMKLA",2,2,2,3
"ZMYND12",2,2,2,3
"PPCS",2,2,2,3
"CCDC30",2,2,2,3
"PPIH",2,2,2,3
"YBX1",2,2,2,3
"C1orf50",2,2,2,3
"ERMAP",2,2,2,3
"ZNF691",2,2,2,3
"SLC2A1",2,2,2,3
"SLC2A1-AS1",2,2,2,3
"FAM183A",2,2,2,3
"EBNA1BP2",2,2,2,3
"TMEM125",2,2,2,3
"C1orf210",2,2,2,3
"TIE1",2,2,2,3
"CDC20",2,2,2,3
"ELOVL1",2,2,2,3
"MED8",2,2,2,3
"SZT2",2,2,2,3
"HYI",2,2,2,3
"PTPRF",2,2,2,3
"KDM4A",2,2,2,3
"KDM4A-AS1",2,2,2,3
"ST3GAL3",2,2,2,3
"ARTN",2,2,2,3
"IPO13",2,2,2,3
"DPH2",2,2,2,3
"ATP6V0B",2,2,2,3
"B4GALT2",2,2,2,3
"CCDC24",2,2,2,3
"SLC6A9",2,2,2,3
"DMAP1",2,2,2,3
"ERI3",2,2,2,3
"RNF220",2,2,2,3
"TMEM53",2,2,2,3
"KIF2C",2,2,2,3
"RPS8",2,2,2,3
"BEST4",2,2,2,3
"PLK3",2,2,2,3
"TCTEX1D4",2,2,2,3
"BTBD19",2,2,2,3
"PTCH2",2,2,2,3
"EIF2B3",2,2,2,3
"HECTD3",2,2,2,3
"UROD",2,2,2,3
"HPDL",2,2,2,3
"MUTYH",2,2,2,3
"TOE1",2,2,2,3
"TESK2",2,2,2,3
"MMACHC",2,2,2,3
"PRDX1",2,2,2,3
"AHCYL1",3,3,2,2
"STRIP1",3,3,2,2
"KCNC4",3,3,2,2
"RBM15",3,3,2,2
"SLC16A4",3,3,2,2
"LAMTOR5",3,3,2,2
"LRIF1",3,3,2,2
"DRAM2",3,3,2,2
"CEPT1",3,3,2,2
"DENND2D",3,3,2,2
"CHI3L2",3,3,2,2
"PIFO",3,3,2,2
"OVGP1",3,3,2,2
"WDR77",3,3,2,2
"C1orf162",3,3,2,2
"RAP1A",3,3,2,2
"DDX20",3,3,2,2
"KCND3",3,3,2,2
"CAMK1G",2,2,1,2
"LAMB3",2,2,1,2
"G0S2",2,2,1,2
"HSD11B1",2,2,1,2
"C1orf74",2,2,1,2
"IRF6",2,2,1,2
"SERTAD4-AS1",2,2,1,2
"SERTAD4",2,2,1,2
"HHAT",2,2,1,2
"RCOR3",2,2,1,2
"TRAF5",2,2,1,2
"LINC00467",2,2,1,2
"SLC30A1",2,2,1,2
"NEK2",2,2,1,2
"LPGAT1",2,2,1,2
"INTS7",2,2,1,2
"DTL",2,2,1,2
"PPP2R5A",2,2,1,2
"TMEM206",2,2,1,2
"NENF",2,2,1,2
"ATF3",2,2,1,2
"FAM71A",2,2,1,2
"BATF3",2,2,1,2
"NSL1",2,2,1,2
"TATDN3",2,2,1,2
"FLVCR1",2,2,1,2
"VASH2",2,2,1,2
"ANGEL2",2,2,1,2
"RPS6KC1",2,2,1,2
"SMYD2",2,2,1,2
"PTPN14",2,2,1,2
"CENPF",2,2,1,2
"KCTD3",2,2,1,2
"ESRRG",2,2,1,2
"TGFB2",2,2,1,2
"LYPLAL1",2,2,1,2
"ZC3H11B",2,2,1,2
"EPRS",2,2,1,2
"BPNT1",2,2,1,2
"IARS2",2,2,1,2
"RAB3GAP2",2,2,1,2
"C1orf115",2,2,1,2
"MARC2",2,2,1,2
"MARC1",2,2,1,2
"HLX",2,2,1,2
"DUSP10",2,2,1,2
"CNIH4",2,2,1,2
"WDR26",2,2,1,2
"CNIH3",2,2,1,2
"DNAH14",2,2,1,2
"LBR",2,2,1,2
"ENAH",2,2,1,2
"SRP9",2,2,1,2
"FHIT",2,2,2,1
"PTPRG",2,2,2,1
"C3orf14",2,2,2,1
"PSMD6",2,2,2,1
"PRICKLE2",2,2,2,1
"ADAMTS9",2,2,2,1
"MAGI1",2,2,2,1
"SUCLG2",2,2,2,1
"EOGT",2,2,2,1
"TMF1",2,2,2,1
"UBA3",2,2,2,1
"ARL6IP5",2,2,2,1
"LMOD3",2,2,2,1
"FRMD4B",2,2,2,1
"MITF",2,2,2,1
"FOXP1",2,2,2,1
"EIF4E3",2,2,2,1
"GPR27",2,2,2,1
"PROK2",2,2,2,1
"LINC00877",2,2,3,1
"RYBP",2,2,3,1
"SHQ1",2,2,3,1
"GXYLT2",2,2,3,1
"ROBO1",2,2,3,2
"GBE1",2,2,3,2
"CHMP2B",2,2,3,2
"CGGBP1",2,2,3,2
"ZNF654",2,2,3,2
"C3orf38",2,2,3,2
"DCBLD2",2,2,3,2
"COL8A1",2,2,3,2
"CMSS1",2,2,3,2
"FILIP1L",2,2,3,2
"TBC1D23",2,2,3,2
"NIT2",2,2,3,2
"LNP1",2,2,3,2
"TMEM45A",2,2,3,2
"TFG",2,2,3,2
"NXPE3",2,2,3,2
"NFKBIZ",2,2,3,2
"LINC00636",2,2,3,2
"CD47",2,2,3,2
"IFT57",2,2,3,2
"PHLDB2",2,2,3,2
"ABHD10",2,2,3,2
"C3orf52",2,2,3,2
"ZBTB20",2,2,3,2
"ZBTB20-AS2",2,2,3,2
"ALG1L",2,2,3,2
"SLC41A3",2,2,3,2
"CHCHD6",2,2,3,2
"PLXNA1",2,2,3,2
"TPRA1",2,2,3,2
"MCM2",2,2,3,2
"PODXL2",2,2,3,2
"ABTB1",2,2,3,2
"MGLL",2,2,3,2
"SEC61A1",2,2,3,2
"RUVBL1",2,2,3,2
"EEFSEC",2,2,3,2
"RPN1",2,2,3,2
"RAB7A",2,2,3,2
"SPTSSB",2,2,3,2
"SERPINI2",2,2,3,2
"WDR49",2,2,3,2
"PDCD10",2,2,3,2
"SERPINI1",2,2,3,2
"GOLIM4",2,2,3,2
"LRRC34",2,2,3,2
"SEC62",2,2,3,2
"GPR160",2,2,3,2
"PHC3",2,2,3,2
"PRKCI",2,2,3,2
"SKIL",2,2,3,2
"CLDN11",2,2,3,2
"RPL22L1",2,2,3,2
"EIF5A2",2,2,3,2
"TNIK",2,2,3,2
"PLD1",2,2,3,2
"FNDC3B",2,2,3,2
"TNFSF10",2,2,3,2
"NCEH1",2,2,3,2
"ECT2",2,2,3,2
"NAALADL2",2,2,4,2
"TBL1XR1",2,2,4,2
"ZNF639",2,2,4,2
"MFN1",2,2,4,2
"GNB4",2,2,4,2
"AC007620.3",2,2,4,2
"ACTL6A",2,2,4,2
"MRPL47",2,2,4,2
"NDUFB5",2,2,4,2
"USP13",2,2,4,2
"TTC14",2,2,4,2
"FXR1",2,2,4,2
"DNAJC19",2,2,4,2
"MCF2L2",3,3,3,2
"KLHL6",3,3,3,2
"KLHL24",3,3,3,2
"YEATS2",3,3,3,2
"EIF2B5",3,3,5,2
"PSMD2",3,3,5,2
"EIF4G1",3,3,5,2
"FAM131A",3,3,5,2
"CLCN2",3,3,5,2
"POLR2H",3,3,5,2
"EPHB3",3,3,5,2
"MAGEF1",3,3,5,2
"VPS8",3,3,5,2
"EHHADH",3,3,5,2
"TRA2B",3,3,5,2
"ETV5",3,3,5,2
"DGKG",3,3,5,2
"CRYGS",3,3,5,2
"TBCCD1",3,3,5,2
"DNAJB11",3,3,5,2
"EIF4A2",3,3,5,2
"RFC4",3,3,5,2
"ST6GAL1",3,3,5,2
"RPL39L",3,3,5,2
"LPP-AS2",3,3,5,2
"LPP",3,3,5,2
"TPRG1-AS1",3,3,5,2
"TPRG1",3,3,5,2
"CLDN1",3,3,5,2
"CLDN16",3,3,5,2
"IL1RAP",3,3,5,2
"GMNC",3,3,5,3
"OSTN-AS1",3,3,5,3
"CCDC50",3,3,5,3
"MB21D2",3,3,5,3
"HRASLS",3,3,5,3
"ATP13A4",3,3,5,3
"OPA1",3,3,5,3
"HES1",3,3,5,3
"TCTEX1D2",3,3,5,3
"TM4SF19-AS1",3,3,5,3
"UBXN7",3,3,5,3
"RNF168",3,3,5,3
"AC117490.2",3,3,5,3
"WDR53",3,3,5,3
"FBXO45",3,3,5,3
"NRROS",3,3,5,3
"PIGX",3,3,5,3
"CEP19",3,3,5,3
"STPG2",2,1,2,2
"RAP1GDS1",2,1,2,2
"TSPAN5",2,1,2,2
"ADH5",2,1,2,2
"TRMT10A",2,1,2,2
"DDIT4L",2,1,2,1
"PPP3CA",2,1,2,1
"AP001816.1",2,1,2,1
"BANK1",2,1,2,1
"BDH2",2,1,2,1
"CENPE",2,1,2,1
"AC004069.1",2,1,2,1
"TET2",2,1,2,1
"PPA2",2,1,2,1
"INTS12",2,1,2,1
"GSTCD",2,1,2,1
"NPNT",2,1,2,1
"PAPSS1",2,1,2,1
"SGMS2",2,1,2,1
"CYP2U1",2,1,2,1
"HADH",2,1,2,1
"LEF1",2,1,2,1
"RPL34",2,1,2,1
"OSTC",2,1,2,1
"SEC24B-AS1",2,1,2,1
"SEC24B",2,1,2,1
"CASP6",2,1,2,1
"PLA2G12A",2,1,2,1
"CFI",2,1,2,1
"GAR1",2,1,2,1
"ELOVL6",2,1,2,1
"ENPEP",2,1,2,1
"LARP7",2,1,2,1
"ANK2",2,1,2,1
"UGT8",2,1,2,1
"TRAM1L1",2,1,2,1
"TNIP3",2,1,2,1
"ANXA5",2,1,2,1
"EXOSC9",2,1,2,1
"CCNA2",2,1,2,1
"BBS7",2,1,2,1
"TRPC3",2,1,2,1
"SPATA5",2,1,2,1
"SPRY1",2,1,2,1
"LINC01091",2,1,2,1
"ANKRD50",2,1,2,1
"LARP1B",2,1,2,1
"PGRMC2",2,1,2,1
"JADE1",2,1,2,1
"SCLT1",2,1,2,1
"C4orf33",2,1,2,1
"PCDH18",2,1,2,1
"SLC7A11",3,2,2,1
"ELF2",3,2,2,2
"MGARP",3,2,2,2
"NDUFC1",3,2,2,2
"NAA15",3,2,2,2
"RAB33B",3,2,2,2
"SETD7",3,2,2,2
"MGST2",3,2,2,2
"MAML3",3,2,2,2
"TBC1D9",3,2,2,2
"RNF150",3,2,2,2
"ZNF330",3,2,2,2
"IL15",3,2,2,2
"INPP4B",3,2,2,2
"HHIP",5,3,3,3
"ANAPC10",5,3,3,3
"ABCE1",4,3,3,3
"OTUD4",4,3,3,3
"SMAD1",4,3,3,3
"MMAA",4,3,3,3
"ZNF827",4,3,3,3
"LSM6",4,3,3,3
"SLC10A7",4,3,3,3
"TMEM184C",4,3,3,3
"ARHGAP10",4,3,3,3
"NR3C2",4,3,3,3
"DCLK2",4,3,3,3
"LRBA",4,3,3,3
"AC110813.1",4,3,3,3
"RPS3A",4,3,3,3
"SH3D19",4,3,3,3
"FAM160A1",4,3,3,3
"FBXW7",4,3,3,3
"RAPGEF2",3,2,2,2
"FST",2,1,2,2
"NDUFS4",2,1,2,2
"ARL15",2,1,2,2
"SNX18",2,1,2,2
"ESM1",2,1,2,2
"CDC20B",2,1,2,2
"GPX8",2,1,2,2
"CCNO",2,1,2,2
"DHX29",2,1,2,2
"SLC38A9",2,1,2,2
"IL6ST",2,1,2,2
"MAP3K1",2,1,2,2
"SETD9",2,1,2,2
"MIER3",2,1,2,2
"AC008937.3",2,1,2,2
"PDE4D",2,1,2,2
"PART1",2,1,2,2
"DEPDC1B",2,1,2,2
"ZSWIM6",2,1,2,2
"KIF2A",2,1,2,2
"DIMT1",2,1,2,2
"IPO11",2,1,2,2
"RNF180",2,1,2,2
"ADAMTS6",2,1,2,2
"CENPK",2,1,2,2
"PPWD1",2,1,2,2
"TRIM23",2,1,2,2
"TRAPPC13",2,1,2,2
"SGTB",2,1,2,2
"NLN",2,1,2,2
"SREK1",2,1,2,2
"MAST4",2,1,2,2
"MAST4-AS1",2,1,2,2
"PIK3R1",2,1,1,2
"SLC30A5",2,1,1,2
"CCNB1",2,1,1,2
"CENPH",2,1,1,2
"MRPS27",2,1,1,2
"PTCD2",2,1,1,2
"ZNF366",2,1,1,2
"TNPO1",2,1,1,2
"FCHO2",2,1,1,2
"TMEM171",2,1,1,2
"AC099522.2",2,1,1,2
"BTF3",2,1,1,2
"ANKRA2",2,1,1,2
"UTP15",2,1,1,2
"ARHGEF28",2,1,1,2
"SV2C",2,1,1,2
"IQGAP2",2,1,1,2
"F2R",2,1,1,2
"F2RL1",2,1,1,2
"AGGF1",2,1,1,2
"ZBED3",2,1,1,2
"ZBED3-AS1",2,1,1,2
"PDE8B",2,1,1,2
"WDR41",2,1,1,2
"TBCA",2,1,1,2
"AP3B1",2,1,1,2
"JMY",2,1,1,2
"HOMER1",2,1,1,2
"ATG10",2,1,1,2
"TMEM167A",2,1,1,2
"RASA1",2,1,1,2
"CCNH",2,1,1,2
"TMEM161B",2,1,1,2
"TMEM161B-AS1",2,1,1,2
"MEF2C",2,1,1,2
"MEF2C-AS1",2,1,1,2
"LUCAT1",2,1,1,2
"ARRDC3",2,1,1,2
"MCTP1",2,1,1,2
"FAM81B",2,1,1,2
"TTC37",2,1,1,2
"ARSK",2,1,1,2
"RFESD",2,1,1,2
"RHOBTB3",2,1,1,2
"GLRX",2,1,1,2
"ELL2",2,1,1,2
"CAST",2,1,1,2
"ERAP1",2,1,1,2
"ERAP2",2,1,1,2
"LNPEP",2,1,1,2
"LIX1",2,1,1,2
"RGMB",2,1,1,2
"RGMB-AS1",2,1,1,2
"CHD1",2,1,1,2
"ST8SIA4",2,1,1,2
"PPIP5K2",2,1,1,2
"C5orf30",2,1,1,2
"NUDT12",2,1,1,2
"EFNA5",2,1,1,2
"FBXL17",2,1,1,2
"LINC01023",2,1,1,2
"FER",2,1,1,2
"MAN2A1",2,1,1,2
"TMEM232",2,1,1,2
"SLC25A46",2,1,1,2
"WDR36",2,1,1,2
"NREP",2,1,1,2
"EPB41L4A",2,1,1,2
"EPB41L4A-AS1",2,1,1,2
"APC",2,1,1,2
"SRP19",2,1,1,2
"REEP5",2,1,1,2
"DCP2",2,1,1,2
"MCC",2,1,1,2
"YTHDC2",2,1,1,2
"TRIM36",2,1,1,2
"PGGT1B",2,1,1,2
"CCDC112",2,1,1,2
"FEM1C",2,1,1,2
"TMED7",2,1,1,2
"ATG12",2,1,1,2
"AP3S1",2,1,1,2
"AC034236.2",2,1,1,2
"COMMD10",2,1,1,2
"DTWD2",2,1,1,2
"DMXL1",2,1,1,2
"TNFAIP8",2,1,1,2
"HSD17B4",2,1,1,2
"SRFBP1",2,1,1,2
"LOX",2,1,1,2
"SNX2",2,1,2,2
"SNX24",2,1,2,2
"PPIC",2,1,2,2
"PRDM6",2,1,2,2
"CEP120",2,1,2,2
"CSNK1G3",2,1,2,2
"ZNF608",2,1,2,2
"ALDH7A1",2,1,2,2
"PHAX",2,1,2,2
"PRRC1",2,1,2,2
"SLC27A6",2,1,2,2
"ISOC1",2,1,2,2
"HINT1",2,1,1,2
"LYRM7",2,1,1,2
"CDC42SE2",2,1,1,2
"RAPGEF6",2,1,1,2
"FNIP1",2,1,1,2
"ACSL6",2,1,1,2
"P4HA2",2,1,1,2
"PDLIM4",2,1,1,2
"SLC22A4",2,1,1,2
"SLC22A5",2,1,1,2
"IRF1",2,1,1,2
"RAD50",2,1,1,2
"KIF3A",2,1,1,2
"SEPT8",2,1,1,2
"SHROOM1",2,1,1,2
"GDF9",2,1,1,2
"UQCRQ",2,1,1,2
"LEAP2",2,1,1,2
"AFF4",2,1,1,2
"ZCCHC10",2,1,1,2
"HSPA4",2,1,1,2
"C5orf15",2,1,1,2
"VDAC1",2,1,1,2
"TCF7",2,1,1,2
"SKP1",2,1,1,2
"PPP2CA",2,1,1,2
"CDKL3",2,1,1,2
"UBE2B",2,1,1,2
"CDKN2AIPNL",2,1,1,2
"JADE2",2,1,1,2
"SAR1B",2,1,1,2
"C5orf66",2,1,1,2
"H2AFY",2,1,1,2
"SLC25A48",2,1,1,2
"TGFBI",2,1,1,2
"SMAD5",2,1,1,2
"KIF20A",2,2,1,2
"CDC23",2,2,1,2
"CDC25C",2,2,1,2
"FAM53C",2,2,1,2
"KDM3B",2,2,1,2
"REEP2",2,2,1,2
"EGR1",2,2,1,2
"ETF1",2,2,1,2
"HSPA9",2,2,1,2
"CXXC5",2,2,1,2
"NRG2",2,2,1,2
"PURA",2,2,1,2
"IGIP",2,2,1,2
"CYSTM1",2,2,1,2
"PFDN1",2,2,1,2
"HBEGF",2,2,1,2
"ANKHD1",2,2,1,2
"ANKHD1-EIF4EBP3",2,2,1,2
"SRA1",2,2,1,2
"EIF4EBP3",2,2,1,2
"APBB3",2,2,1,2
"SLC35A4",2,2,1,2
"CD14",2,2,1,2
"NDUFA2",2,2,1,2
"TMCO6",2,2,1,2
"IK",2,2,1,2
"WDR55",2,2,1,2
"DND1",2,2,1,2
"HARS",2,2,1,2
"HARS2",2,2,1,2
"ZMAT2",2,2,1,2
"PCDHA10",2,2,1,2
"PCDHB2",2,2,1,2
"PCDHB5",2,2,1,2
"PCDHB9",2,2,1,2
"PCDHB15",2,2,1,2
"TAF7",2,2,1,2
"PCDHGA5",2,2,1,2
"PCDHGA6",2,2,1,2
"PCDHGA7",2,2,1,2
"PCDHGB4",2,2,1,2
"PCDHGA8",2,2,1,2
"PCDHGB6",2,2,1,2
"PCDHGA10",2,2,1,2
"PCDHGB7",2,2,1,2
"PCDHGA11",2,2,1,2
"PCDHGA12",2,2,1,2
"PCDHGC3",2,2,1,2
"DIAPH1",2,2,1,2
"HDAC3",2,2,1,2
"RELL2",2,2,1,2
"FCHSD1",2,2,1,2
"ARAP3",2,2,1,2
"PCDH1",2,2,1,2
"PCDH12",2,2,1,2
"AC005740.4",2,2,1,2
"RNF14",2,2,1,2
"GNPDA1",2,2,1,2
"NDFIP1",2,2,1,2
"SPRY4",2,2,1,2
"ARHGAP26",2,2,1,2
"YIPF5",2,2,1,2
"PRELID2",2,2,1,2
"SH3RF2",2,2,1,2
"LARS",2,2,1,2
"RBM27",2,2,1,2
"TCERG1",2,2,1,2
"PPP2R2B",2,2,1,2
"DPYSL3",2,2,1,2
"FOXC1",2,2,2,1
"GMDS",2,2,2,1
"MYLK4",2,2,2,1
"WRNIP1",2,2,2,1
"SERPINB1",2,2,2,1
"SERPINB9",2,2,2,1
"SERPINB6",2,2,2,1
"LINC01011",2,2,2,1
"NQO2",2,2,2,1
"RIPK1",2,2,2,1
